wine_name,vivino_rating,vivino_num_ratings,vivino_price,vivino_url
2022 Small Wonder - Landscape Riesling - White - 750 ml - Standard Bottle,3.6,72 ratings,N/A,https://www.vivino.com/SG/en/small-wonder-landscape-pinot-noir/w/11125543?year=2022
2018 Two Paddocks - Riesling - White - 750 ml - Standard Bottle,4.0,33 ratings,N/A,https://www.vivino.com/SG/en/konrad-sigrun-noble-two-riesling-sauvignon-blanc/w/2343309?year=2018
2019 Casa Rojo - La Marimorena Albarino - White - 750 ml - Standard Bottle,4.0,562 ratings,$69.95,https://www.vivino.com/SG/en/casa-rojo-la-marimorena-albarino/w/2472031?year=2019&price_id=31673426
2020 The Hilt - Chardonnay Estate Santa Rita Hills,4.0,125 ratings,N/A,https://www.vivino.com/SG/en/the-hilt-estate-chardonnay/w/10139979?year=2020
2001 Capoverso - Vin Santo di Montepulciano - White - 375 ml - Half Bottle,4.3,based on all vintages,N/A,https://www.vivino.com/SG/en/bindella-dolce-sinfonia-occhio-di-pernice-vin-santo-di-montepulciano/w/1174296?year=2001
2019 Moores Hill Estate - Riesling - White - 750 ml - Standard Bottle,3.7,898 ratings,N/A,https://www.vivino.com/SG/en/golubitskoe-estate-villa-romanov-riesling/w/7179427?year=2019
2020 Duckhorn - Decoy Sauvignon Blanc Napa - White - 750 ml - Standard Bottle,4.0,901 ratings,N/A,https://www.vivino.com/SG/en/duckhorn-napa-valley-sauvignon-blanc/w/1128386?year=2020&price_id=2754285
2022 Jermann - Ribolla Gialla Vinnae - White - 750 ml - Standard Bottle,4.0,631 ratings,$74,https://www.vivino.com/SG/en/jermann-vinnae-servus-cella-ribolla-gialla/w/79495?year=2022&price_id=35030450
2019 Caccia Al Piano 1868 - Ruit Hora Bolgheri Superiore - Red - 750 ml - Standard Bottle,4.1,1073 ratings,$63.08,https://www.vivino.com/SG/en/it-caccia-al-piano-ruit-hora/w/98569?year=2019&price_id=35644256
2016 Clos Henri - Pinot Noir - Red - 750 ml - Standard Bottle,3.6,561 ratings,N/A,https://www.vivino.com/SG/en/clos-henri-petit-clos-pinot-noir/w/1126923?year=2016
2019 Moss Wood - Semillon Margaret River - White - 750 ml - Standard Bottle,3.8,based on all vintages,N/A,https://www.vivino.com/SG/en/moss-wood-ribbon-vale-vineyard-semillon-sauvignon-blanc/w/2626277?year=2019&price_id=38762457
2017 Tablas Creek - Esprit de Tablas - Red - 750 ml - Standard Bottle,4.4,88 ratings,N/A,https://www.vivino.com/SG/en/tablas-creek-vineyard-esprit-de-beaucastel/w/5118?year=2017
2018 Barone Pizzini - Franciacorta Rose Brut - Rose - 750 ml - Standard Bottle,4.0,88 ratings,$121,https://www.vivino.com/SG/en/barone-pizzini-franciacorta-rose-edizione/w/1145593?year=2018&price_id=36026756
2018 De Martino - Las Olvidadas Old Vine Series Mezcla Tinta - Red - 750 ml - Standard Bottle,3.8,82 ratings,N/A,https://www.vivino.com/SG/en/cl-de-martino-las-olvidadas-old-vine-series-mezcla-tinta/w/7732701?year=2018
2014 Frauenkirchen Josef Umathum - Pinot Noir Unter Den Terrassen Zu Jois - Red - 750 ml - Standard Bottle,4.1,63 ratings,N/A,https://www.vivino.com/SG/en/umathum-unter-den-terrassen-pinot-noir/w/86936?year=2014
2019 Gerard Xavier - Condrieu L'Arbuel - White - 750 ml - Standard Bottle,3.8,49 ratings,$122,https://www.vivino.com/SG/en/xavier-gerard-condrieu-l-arbuel/w/6091083?year=2019&price_id=39239026
